Title,Ingredients
french-toast-waffles,"1 cup pancake/waffle mix
 2 teaspoons white sugar
 1 teaspoon ground cinnamon
 1/2 cup cold milk
 2 eggs
 1 teaspoon vanilla extract"
peanut-butter-and-banana-french-toast,"1 egg
 1 dash vanilla extract
 2 tablespoons creamy peanut butter
 2 slices bread
 1 small banana, sliced
 2 tablespoons butter"
french-toast-casserole,"5 cups bread cubes
 4 eggs
 1 1/2 cups milk
 1/4 cup white sugar, divided
 1/4 teaspoon salt
 1 teaspoon vanilla extract
 1 tablespoon margarine, softened
 1 teaspoon ground cinnamon"
hawaiian-french-toast,"3 eggs, separated
 1/2 teaspoon vanilla extract
 1 teaspoon grated orange zest
 1/2 teaspoon rum flavored extract
 1 tablespoon water
 1 tablespoon honey
 1 (1 pound) loaf hawaiian sweet bread, thickly sliced
 1 (8 ounce) can crushed pineapple, with juice
 1 (3 ounce) can mandarin orange segments, drained
 3 tablespoons honey
 1 cup maple syrup"
sunny-orange-french-toast,"1 1/2 cups cream of wheat cereal
 3 eggs, slightly beaten
 3/4 teaspoon grated orange peel
 1 cup orange juice
 3 tablespoons granulated sugar
 1 teaspoon vanilla
 12 slices firm white bread (3/4-inch thick)
 1/4 cup margarine or butter , divided, powdered sugar (optional)"
apple-raisin-french-toast-casserole,"1 cup brown sugar
 1 teaspoon ground cinnamon
 1/2 cup butter, melted
 3 apples - peeled, cored and sliced
 1/2 cup raisins
 1 (1 pound) loaf french baguette, cut into 1 inch slices
 6 eggs, lightly beaten
 1 1/2 cups milk
 1 tablespoon vanilla extract
 2 teaspoons ground cinnamon"
grandmas-peach-french-toast,"1 cup packed brown sugar
 1/2 cup butter
 2 tablespoons water
 1 (29 ounce) can sliced peaches, drained
 12 (3/4 inch thick) slices day-old french bread
 5 eggs
 1 tablespoon vanilla extract
 1 pinch ground cinnamon, or to taste"
whole-wheat-french-toast-with-peaches,"1 cup packed brown sugar
 1/2 cup butter
 2 tablespoons water
 1 (16 ounce) package frozen sliced peaches, thawed
 12 slices sara lee\xae soft &amp; smooth\u2122 whole grain white bread
 3/4 cup liquid egg substitute
 1 tablespoon vanilla extract, ground cinnamon to taste"
uncle-jesses-french-toast,"4 eggs
 1 teaspoon ground cinnamon
 1 teaspoon ground nutmeg
 1 teaspoon ground ginger
 1 teaspoon ground cloves
 15 slices whole wheat bread
 1 cup butter, divided
 1 cup confectioners' sugar for dusting"
blueberry-maple-french-toast-casserole,"1 (16 ounce) package frozen safeway select organic wild blueberries
 1/4 cup safeway select 100% pure maple syrup, plus extra for serving
 1/3 cup sugar
 1 tablespoon cornstarch
 4 safeway select organic large eggs
 2/3 cup safeway select organic whole milk
 1 teaspoon vanilla
 1 (1 pound) loaf safeway select artisan como or italian bread"
french-toast,"3 large eggs
 1 pinch fine salt
 1/4 teaspoon vanilla extract
 3 tablespoons unsalted butter
 6 slices fresh challah, confectioners' sugar, maple syrup or jam for serving"
french-toast-bake,"12 (1 inch thick) slices day-old french bread
 5 eggs
 2 1/2 cups milk
 1 cup packed brown sugar, divided
 1 teaspoon vanilla extract
 1/2 teaspoon ground nutmeg
 1 cup chopped pecans
 1/4 cup butter or margarine, melted
 2 cups fresh or frozen blueberries"
french-toast-fingers,"2 eggs
 1/4 cup milk
 1/4 teaspoon salt
 1/2 cup strawberry preserves
 8 slices day-old white bread, confectioners' sugar"
pebbles-french-toast-fingers,"3 eggs
 1/4 cup milk
 1 teaspoon vanilla, dash ground cinnamon
 10 thick slices whole grain bread, such as whole wheat, honey oat
 7 grain or raisin
 2 1/2 cups post fruity pebbles cereal"
cinnamon-french-toast-bake,"french toast bake:
 1/4 cup land o lakes\xae butter, melted
 2 (12.4 ounce) cans pillsbury\xae refrigerated cinnamon rolls with icing
 6 eggland's best eggs
 1/2 cup heavy whipping cream
 2 teaspoons ground cinnamon
 2 teaspoons vanilla
 1 cup fisher\xae chef's naturals\xae chopped pecans
 1 cup maple syrup, garnish:, icing from cinnamon rolls, powdered sugar
 1/2 cup maple syrup, if desired (optional)"
blueberry-banana-granola-french-toast,"1 (12.4 ounce) can pillsbury\xae refrigerated cinnamon rolls with icing
 8 nature valley\xae banana nut crunchy granola bars, crushed
 4 eggs
 3/4 cup fat-free (skim) milk
 1 (14 ounce) can fat-free sweetened condensed milk (not evaporated)
 3 medium bananas, cut into 1-inch pieces
 1 (10 ounce) bag cascadian farm\xae organic frozen blueberries, thawed
 1 (7 ounce) can fat-free whipped cream topping"
peanut-butter-and-jelly-french-toast-sticks,"1/2 cup peanut butter
 8 slices sandwich bread
 1/2 cup jelly (any flavor)
 5 large eggs
 1/3 cup milk
 2 teaspoons pure vanilla extract
 4 tablespoons butter
 1/2 cup maple syrup, warmed"
crunchy-french-toast-sticks,"3 eggs
 1/4 cup milk
 2 cups corn flakes, crushed
 4 slices bread, cut into thirds
 1 tablespoon butter"
easy-blueberries-and-cream-french-toast-sandwich-with-orange-maple-syrup,"1/4 cup red wine
 1/2 cup orange juice
 1/2 teaspoon grated orange zest
 1/2 cup maple syrup
 1 pinch crushed red pepper flakes, or to taste (optional)
 8 slices whole wheat bread
 1/2 cup softened cream cheese
 1/2 cup fresh blueberries
 4 eggs
 1/3 cup milk
 1/4 cup butter"
french-toast-casserole,"1 (16 ounce) loaf pepperidge farm\xae cinnamon swirl bread, cut into cubes
 6 eggs, beaten
 3 cups milk
 2 teaspoons vanilla extract, confectioners' sugar"
panettone-french-toast-bake,"1 (26.5 ounce) loaf archer farms\xae traditional pannetone, cut into 1-inch cubes
 6 eggs
 2 cups half-and-half
 1 teaspoon archer farms pure vanilla extract
 1/4 teaspoon salt"
pumpkin-french-toast,"4 eggs
 1/4 cup canned pumpkin puree
 1 teaspoon ground cinnamon
 1 pinch ground nutmeg
 8 slices whole wheat bread
 2 teaspoons butter"
sweet-potato-french-toast,"1/4 cup mashed sweet potatoes
 4 eggs
 1/8 teaspoon ground cinnamon
 1/8 teaspoon ground nutmeg
 8 slices whole wheat bread"
thymey-wimey-french-toast,"1/4 cup melted butter
 1/4 cup milk
 2 thick slices crusty bread
 2 teaspoons dried thyme leaves
 1/3 cup shredded sharp cheddar cheese, salt and cracked black pepper to taste"
vanilla-banana-french-toast,"2 eggs
 3/4 teaspoon vanilla extract
 1 tablespoon ground cinnamon
 2 1/4 teaspoons white sugar
 2 slices bread
 1 banana, sliced"
french-toast-fingers-with-fruit-dips,"for vanilla pear dip:
 1 (15 ounce) can pear halves in extra light syrup
 1 tablespoon honey
 1/2 teaspoon vanilla extract
 1 tablespoon butter (optional), for french toast fingers:
 3 large or extra-large eggs, lightly beaten
 3/4 cup low-fat milk
 1/4 cup vanilla pear, maple peach, or cinnamon carrot dip, cooking spray or melted butter
 6 slices whole-grain bread, each cut in 5 1-inch-wide strips"
panettone-french-toast-with-orange-mascarpone-sauce,"1 (12 ounce) panettone
 1 (8 ounce) container mascarpone cheese
 1/3 cup orange juice
 1/3 cup orange marmalade
 4 eggs
 1/4 teaspoon ground cinnamon
 1 pinch ground nutmeg
 3 tablespoons olive oil"
french-toast-casserole,"1 (22 ounce) loaf o organics\u2122 seeds and grains bread, butter-flavored cooking spray
 8 o organics large egg whites
 2 cups o organics fat-free milk
 1 cup o organics 100% pure no pulp orange juice
 1 tablespoon o organics ground cinnamon
 2 tablespoons o organics maple syrup
 1 tablespoon vanilla extract
 1 teaspoon ground nutmeg, dash salt
 1/2 cup o organics blueberries
 1 cup o organics maple syrup, powdered sugar (optional)"
cardamom-french-toast-casserole,"5 cups cubed stale firm white bread
 1 cup chopped pecans
 3 eggs
 1 1/2 cups milk
 3/4 teaspoon almond extract
 1 tablespoon ground cardamom, or more to taste
 1/2 teaspoon ground cinnamon
 1/2 cup brown sugar
 1 cup confectioners' sugar
 1/2 teaspoon ground cardamom
 3 tablespoons milk, or as needed"
pumpkin-french-toast-bake,"8 eggs
 1 teaspoon vanilla extract
 2 teaspoons ground cinnamon
 1/2 teaspoon ground cloves
 1/4 teaspoon ground nutmeg
 1 tablespoon white sugar
 1 (15 ounce) can pumpkin puree
 1 loaf texas toast thick-sliced bread, cut into 1-inch cubes
 1/3 cup brown sugar
 1/4 teaspoon ground cinnamon
 2 tablespoons all-purpose flour
 1 tablespoon butter, softened"
pear-and-almond-french-toast-casserole,"1/4 cup butter, cut into 1/4-inch cubes
 1/2 cup brown sugar
 1 (29 ounce) can pear halves, cut lengthwise into 4 slices
 1 (1 pound) loaf sourdough bread, cut into 1-inch cubes
 2 1/2 cups eggs
 1 1/2 cups milk
 2 tablespoons white sugar
 1 teaspoon vanilla extract
 1/2 teaspoon almond extract
 1/4 cup sliced almonds"
