Title,Ingredients
french-toast-waffles,"1 cup pancake/waffle mix
 2 teaspoons white sugar
 1 teaspoon ground cinnamon
 1/2 cup cold milk
 2 eggs
 1 teaspoon vanilla extract"
blueberry-banana-granola-french-toast,"1 (12.4 ounce) can pillsbury\xae refrigerated cinnamon rolls with icing
 8 nature valley\xae banana nut crunchy granola bars, crushed
 4 eggs
 3/4 cup fat-free (skim) milk
 1 (14 ounce) can fat-free sweetened condensed milk (not evaporated)
 3 medium bananas, cut into 1-inch pieces
 1 (10 ounce) bag cascadian farm\xae organic frozen blueberries, thawed
 1 (7 ounce) can fat-free whipped cream topping"
panettone-french-toast-with-orange-mascarpone-sauce,"1 (12 ounce) panettone
 1 (8 ounce) container mascarpone cheese
 1/3 cup orange juice
 1/3 cup orange marmalade
 4 eggs
 1/4 teaspoon ground cinnamon
 1 pinch ground nutmeg
 3 tablespoons olive oil"
madisons-angel-food-cake-french-toast,"1 (18.25 ounce) package angel food cake mix
 1 1/4 cups water
 4 eggs
 1 cup whole milk
 2 tablespoons brown sugar
 1 teaspoon ground cinnamon
 1 teaspoon vanilla extract
 1 pinch salt
 2 tablespoons butter, divided"
french-toast-sausage-fluffins,"1 (9.6 ounce) box pre-cooked maple flavored pork sausage links
 2 3/4 cups all-purpose flour*
 1 (.25 ounce) envelope fleischmann's\xae rapidrise yeast
 2 tablespoons sugar
 1 teaspoon salt
 1 cup very warm milk (120 to 130 degrees f)
 1 tablespoon mazola\xae corn oil
 1 egg
 1 teaspoon spice islands\xae pure vanilla extract, cinnamon sugar topping:
 2 tablespoons sugar
 1/2 teaspoon spice islands\xae ground saigon cinnamon
 2 tablespoons butter or margarine, melted, for dipping (optional):, pancake syrup"
french-toast-cupcakes,"1 1/4 cups all-purpose flour
 2/3 cup milk
 1/2 cup yogurt
 1/2 cup white sugar
 1/2 cup butter, melted
 1/2 cup raisins
 1/3 cup dark brown sugar
 2 tablespoons maple syrup, or more to taste
 1 1/2 teaspoons vanilla extract
 1 teaspoon baking powder
 1 teaspoon ground cinnamon
 1/2 teaspoon baking soda
 1/2 teaspoon salt"
cinnamon-french-toast-bake,"1/4 cup land o lakes\xae butter, melted
 2 (12.4 ounce) cans pillsbury\xae refrigerated cinnamon rolls with icing
 6 land o lakes\xae eggs
 1/2 cup heavy whipping cream
 2 teaspoons ground cinnamon
 2 teaspoons vanilla
 1 cup fisher\xae chef's naturals\xae chopped pecans
 1 cup maple syrup, garnish:, icing from cinnamon rolls, powdered sugar
 1/2 cup maple syrup (optional)"
croissant-french-toast,"cooking spray
 3 eggs
 2 cups half-and-half
 1/4 teaspoon vanilla extract
 1 pinch ground cinnamon
 6 croissants, split
 1 tablespoon confectioners' sugar"
french-toast-pancakes,"2 teaspoons vegetable oil
 1 cup all-purpose flour
 1 tablespoon white sugar
 1 teaspoon baking powder
 1/2 teaspoon baking soda
 1/4 teaspoon salt
 1 pinch ground nutmeg, or to taste
 1 pinch ground cinnamon, or to taste
 1 cup milk
 1 egg
 2 tablespoons vegetable oil
 1 dash vanilla extract, or to taste"
french-toast-pecan-cookies,"1 1/4 cups all-purpose flour
 1/2 cup white sugar
 1/2 cup packed brown sugar
 1 tablespoon ground cinnamon
 1/2 teaspoon baking soda
 1/2 cup butter, softened
 1 egg
 1 teaspoon vanilla extract
 1 teaspoon rum-flavored extract
 1/2 cup chopped pecans
 12 pecan halves (optional)
 1 pinch coarse salt, or to taste"
