Title,Ingredients
peanut-butter-and-banana-french-toast,"1 egg
 1 dash vanilla extract
 2 tablespoons creamy peanut butter
 2 slices bread
 1 small banana, sliced
 2 tablespoons butter"
hawaiian-french-toast,"3 eggs, separated
 1/2 teaspoon vanilla extract
 1 teaspoon grated orange zest
 1/2 teaspoon rum flavored extract
 1 tablespoon water
 1 tablespoon honey
 1 (1 pound) loaf hawaiian sweet bread, thickly sliced
 1 (8 ounce) can crushed pineapple, with juice
 1 (3 ounce) can mandarin orange segments, drained
 3 tablespoons honey
 1 cup maple syrup"
sunny-orange-french-toast,"1 1/2 cups cream of wheat cereal
 3 eggs, slightly beaten
 3/4 teaspoon grated orange peel
 1 cup orange juice
 3 tablespoons granulated sugar
 1 teaspoon vanilla
 12 slices firm white bread (3/4-inch thick)
 1/4 cup margarine or butter , divided, powdered sugar (optional)"
grandmas-peach-french-toast,"1 cup packed brown sugar
 1/2 cup butter
 2 tablespoons water
 1 (29 ounce) can sliced peaches, drained
 12 (3/4 inch thick) slices day-old french bread
 5 eggs
 1 tablespoon vanilla extract
 1 pinch ground cinnamon, or to taste"
whole-wheat-french-toast-with-peaches,"1 cup packed brown sugar
 1/2 cup butter
 2 tablespoons water
 1 (16 ounce) package frozen sliced peaches, thawed
 12 slices sara lee\xae soft &amp; smooth\u2122 whole grain white bread
 3/4 cup liquid egg substitute
 1 tablespoon vanilla extract, ground cinnamon to taste"
uncle-jesses-french-toast,"4 eggs
 1 teaspoon ground cinnamon
 1 teaspoon ground nutmeg
 1 teaspoon ground ginger
 1 teaspoon ground cloves
 15 slices whole wheat bread
 1 cup butter, divided
 1 cup confectioners' sugar for dusting"
french-toast,"3 large eggs
 1 pinch fine salt
 1/4 teaspoon vanilla extract
 3 tablespoons unsalted butter
 6 slices fresh challah, confectioners' sugar, maple syrup or jam for serving"
pumpkin-french-toast,"4 eggs
 1/4 cup canned pumpkin puree
 1 teaspoon ground cinnamon
 1 pinch ground nutmeg
 8 slices whole wheat bread
 2 teaspoons butter"
sweet-potato-french-toast,"1/4 cup mashed sweet potatoes
 4 eggs
 1/8 teaspoon ground cinnamon
 1/8 teaspoon ground nutmeg
 8 slices whole wheat bread"
vanilla-banana-french-toast,"2 eggs
 3/4 teaspoon vanilla extract
 1 tablespoon ground cinnamon
 2 1/4 teaspoons white sugar
 2 slices bread
 1 banana, sliced"
pumpkin-french-toast-bake,"8 eggs
 1 teaspoon vanilla extract
 2 teaspoons ground cinnamon
 1/2 teaspoon ground cloves
 1/4 teaspoon ground nutmeg
 1 tablespoon white sugar
 1 (15 ounce) can pumpkin puree
 1 loaf texas toast thick-sliced bread, cut into 1-inch cubes
 1/3 cup brown sugar
 1/4 teaspoon ground cinnamon
 2 tablespoons all-purpose flour
 1 tablespoon butter, softened"
whole-grain-french-toast-with-blackberry-compote,"2 (6 ounce) containers fresh blackberries
 1 tablespoon honey (optional)
 1 egg, separated
 1 egg white
 1/4 teaspoon ground nutmeg
 1/4 teaspoon ground cinnamon
 1/4 teaspoon ground ginger
 5 slices whole-grain bread"
french-toast-roll-ups,"1 (8 ounce) package cream cheese, softened
 1 egg yolk
 1 cup white sugar, divided
 24 slices white bread, crusts removed
 1 tablespoon ground cinnamon
 3 tablespoons butter, melted"
banana-roll-french-toast,"2 teaspoons vegetable oil
 8 large slices whole wheat bread
 2 bananas, mashed
 1 (8 ounce) package cream cheese, softened
 2 tablespoons white sugar
 1/4 teaspoon ground cinnamon
 2 eggs"
french-toast-pecan-cookies,"1 1/4 cups all-purpose flour
 1/2 cup white sugar
 1/2 cup packed brown sugar
 1 tablespoon ground cinnamon
 1/2 teaspoon baking soda
 1/2 cup butter, softened
 1 egg
 1 teaspoon vanilla extract
 1 teaspoon rum-flavored extract
 1/2 cup chopped pecans
 12 pecan halves (optional)
 1 pinch coarse salt, or to taste"
maple-french-toast-sandwich,"8 slices maple-cured bacon
 7 eggs
 3 tablespoons brown sugar
 2 tablespoons ground cinnamon
 1 tablespoon ground nutmeg
 4 slices bread
 5 tablespoons oil, or as needed
 1 teaspoon maple syrup, or to taste"
hillshire-farm-litl-smokies-french-toast-bites,"1 (12.5 ounce) package frozen french toast
 1 (14 ounce) package hillshire farm lit'l smokies\xae smoked sausage
 1/4 cup maple syrup, plus extra for brushing
 40 toothpicks
 1 teaspoon dijon mustard
 1 tablespoon confectioners' sugar"
french-toast-wrapped-in-bacon,"2 large eggs
 1 tablespoon ground cinnamon
 1 tablespoon vanilla extract
 1 cup maple syrup
 2 slices bread
 8 slices bacon"
