Title,Ingredients
overnight-blueberry-french-toast,"12 slices day-old bread, cut into 1-inch cubes
 2 (8 ounce) packages cream cheese, cut into 1 inch cubes
 1 cup fresh blueberries
 12 eggs, beaten
 2 cups milk
 1 teaspoon vanilla extract
 1/3 cup maple syrup
 1 cup white sugar
 2 tablespoons cornstarch
 1 cup water
 1 cup fresh blueberries
 1 tablespoon butter"
overnight-apple-cinnamon-french-toast,"3/4 cup butter, melted
 1 cup brown sugar
 1 teaspoon ground cinnamon
 2 (21 ounce) cans apple pie filling
 20 slices white bread
 6 eggs
 1 1/2 cups milk
 1 teaspoon vanilla extract
 1/2 cup maple syrup"
baked-french-toast,"1 (1 pound) loaf french bread, sliced
 6 eggs
 1 1/2 cups skim milk
 1/3 cup white sugar
 1 tablespoon vanilla extract
 6 apple - peeled, cored and sliced
 1 1/2 teaspoons ground cinnamon
 1/2 teaspoon ground nutmeg
 2 tablespoons white sugar
 1/2 cup white sugar
 1/4 cup all-purpose flour
 1/2 cup margarine, melted
 1/2 cup brown sugar
 1/2 cup skim milk
 2 teaspoons vanilla extract"
baked-french-toast,"1 (1 pound) loaf french bread, cut diagonally in 1 inch slices
 8 eggs
 2 cups milk
 1 1/2 cups half-and-half cream
 2 teaspoons vanilla extract
 1/4 teaspoon ground cinnamon
 3/4 cup butter
 1 1/3 cups brown sugar
 3 tablespoons light corn syrup"
french-toast-souffle,"10 cups white bread cubes
 1 (8 ounce) package lowfat cream cheese, softened
 8 eggs
 1 1/2 cups milk
 2/3 cup half-and-half cream
 1/2 cup maple syrup
 1/2 teaspoon vanilla extract
 2 tablespoons confectioners' sugar"
karens-baked-banana-stuffed-french-toast,"4 ripe bananas, mashed
 8 slices french bread
 1/2 cup milk
 2 eggs
 1 teaspoon vanilla extract
 1/2 teaspoon ground cinnamon"
oven-baked-caramel-french-toast,"1 cup brown sugar
 1/2 cup butter
 2 tablespoons light corn syrup
 1 cup chopped pecans, divided
 12 slices french or italian-style bread
 6 eggs
 1 1/2 cups milk
 1 teaspoon vanilla extract
 1 teaspoon ground nutmeg
 1 1/2 teaspoons ground cinnamon
 1/4 teaspoon salt, caramel sauce
 1/2 cup brown sugar
 1/4 cup butter
 1 tablespoon light corn syrup"
overnight-french-toast-i,"12 slices day-old bread, cubed
 2 (8 ounce) packages cream cheese, diced
 1 cup blueberries, rinsed and drained
 12 eggs
 1/3 cup maple syrup
 2 cups milk"
french-toast-casserole,"5 cups bread cubes
 4 eggs
 1 1/2 cups milk
 1/4 cup white sugar, divided
 1/4 teaspoon salt
 1 teaspoon vanilla extract
 1 tablespoon margarine, softened
 1 teaspoon ground cinnamon"
overnight-french-toast-ii,"2 tablespoons corn syrup
 1/2 cup butter
 1 cup packed brown sugar
 1 (1 pound) loaf french bread, sliced
 5 eggs
 1 1/2 cups milk
 1 teaspoon vanilla extract
 1/4 teaspoon salt"
apple-raisin-french-toast-strata,"1 (1 pound) loaf cinnamon raisin bread, cubed
 1 (8 ounce) package cream cheese, diced
 1 cup diced peeled apples
 8 eggs
 2 1/2 cups half-and-half cream
 6 tablespoons butter, melted
 1/4 cup maple syrup"
stouffers-baked-french-toast,"1 (12 ounce) package stouffer's\xae frozen harvest apples, defrosted
 2 tablespoons butter or margarine
 1/3 cup packed dark brown sugar
 3 eggs
 1 cup milk
 1/2 teaspoon vanilla extract
 6 slices bread"
no-fry-french-toast,"nonstick cooking spray
 1 slightly beaten egg
 1 slightly beaten egg white
 3/4 cup fat free milk
 1 teaspoon vanilla extract
 1/8 teaspoon ground cinnamon
 8 (1 inch thick) slices firm-textured french bread
 1/4 teaspoon finely shredded orange peel
 1/2 cup orange juice
 1 tablespoon honey
 1 teaspoon cornstarch
 1/8 teaspoon ground cinnamon
 1 tablespoon powdered sugar (optional)"
apple-raisin-french-toast-casserole,"1 cup brown sugar
 1 teaspoon ground cinnamon
 1/2 cup butter, melted
 3 apples - peeled, cored and sliced
 1/2 cup raisins
 1 (1 pound) loaf french baguette, cut into 1 inch slices
 6 eggs, lightly beaten
 1 1/2 cups milk
 1 tablespoon vanilla extract
 2 teaspoons ground cinnamon"
french-toast-and-spam-sandwiches,"1 (12 ounce) container fully cooked luncheon meat (e.g. spam)
 5 eggs
 1/2 cup milk
 8 slices white bread"
french-toast-strata,"1/3 cup splenda\xae no calorie sweetener, granulated
 1 cup egg substitute
 2/3 cup skim milk
 3/4 teaspoon imitation maple flavor
 8 slices cinnamon-raisin bread
 2 cups peeled apples, thinly sliced
 1/4 cup low fat cream cheese
 1 tablespoon splenda\xae no calorie sweetener, granulated
 1/2 teaspoon cinnamon"
