title,ingr_full,ingr_nums,ingr_cnt,ingr_qnt,ingr_units,ingr_num_total,ingr_wrds,ingr_wrds_cln
french-toast-i,6 thick slices bread,6,6,,slices,6.0,thick bread,bread
french-toast-i,2 eggs,2,2,,,2.0,eggs,eggs
french-toast-i,2/3 cup milk,2/3,2/3,,cups,0.67,milk,milk
french-toast-i,1/4 teaspoon ground cinnamon (optional),1/4,1/4,,teaspoons,0.25,ground cinnamon optional,cinnamon
french-toast-i,1/4 teaspoon ground nutmeg (optional),1/4,1/4,,teaspoons,0.25,ground nutmeg optional,nutmeg
french-toast-i,"1 teaspoon vanilla extract (optional), salt to taste",1,1,,teaspoons,1.0,vanilla extract optional salt to taste,vanilla extract salt
snow-day-french-toast,2 eggs,2,2,,,2.0,eggs,eggs
snow-day-french-toast,1/2 cup milk,1/2,1/2,,cups,0.5,milk,milk
snow-day-french-toast,1/4 teaspoon salt,1/4,1/4,,teaspoons,0.25,salt,salt
snow-day-french-toast,1/2 teaspoon ground nutmeg,1/2,1/2,,teaspoons,0.5,ground nutmeg,nutmeg
snow-day-french-toast,6 slices raisin bread,6,6,,slices,6.0,raisin bread,raisin bread
snow-day-french-toast,2 tablespoons butter,2,2,,tablespoons,2.0,butter,butter
snow-day-french-toast,1 cup white sugar,1,1,,cups,1.0,white sugar,white sugar
skiers-french-toast,2 tablespoons light corn syrup,2,2,,tablespoons,2.0,light corn syrup,corn syrup
skiers-french-toast,1/2 cup butter,1/2,1/2,,cups,0.5,butter,butter
skiers-french-toast,1 cup packed brown sugar,1,1,,cups,1.0,packed brown sugar,brown sugar
skiers-french-toast,"1 (1 pound) loaf unsliced white bread, with crust trimmed",1 1,1,,pound,1.0,unsliced white bread with crust trimmed,unsliced white bread crust trimmed
skiers-french-toast,5 eggs,5,5,,,5.0,eggs,eggs
skiers-french-toast,1 1/2 cups milk,1 1/2,1/2,,cups,0.5,milk,milk
skiers-french-toast,1 tablespoon vanilla extract,1,1,,tablespoons,1.0,vanilla extract,vanilla extract
skiers-french-toast,1/4 teaspoon salt,1/4,1/4,,teaspoons,0.25,salt,salt
poppy-seed-french-toast,3 tablespoons poppy seeds,3,3,,tablespoons,3.0,poppy seeds,poppy seeds
poppy-seed-french-toast,3 eggs,3,3,,,3.0,eggs,eggs
poppy-seed-french-toast,2 cups milk,2,2,,cups,2.0,milk,milk
poppy-seed-french-toast,1 teaspoon vanilla extract,1,1,,teaspoons,1.0,vanilla extract,vanilla extract
poppy-seed-french-toast,1 pinch ground nutmeg,1,1,,pinches,1.0,ground nutmeg,nutmeg
poppy-seed-french-toast,2 tablespoons white sugar,2,2,,tablespoons,2.0,white sugar,white sugar
poppy-seed-french-toast,12 thick slices white bread,12,12,,slices,12.0,thick white bread,white bread
poppy-seed-french-toast,2 tablespoons butter,2,2,,tablespoons,2.0,butter,butter
portuguese-bread-french-toast,5 eggs,5,5,,,5.0,eggs,eggs
portuguese-bread-french-toast,4 cups milk,4,4,,cups,4.0,milk,milk
portuguese-bread-french-toast,1/4 cup white sugar,1/4,1/4,,cups,0.25,white sugar,white sugar
portuguese-bread-french-toast,1/2 teaspoon ground cinnamon,1/2,1/2,,teaspoons,0.5,ground cinnamon,cinnamon
portuguese-bread-french-toast,1/2 teaspoon freshly grated nutmeg,1/2,1/2,,teaspoons,0.5,freshly grated nutmeg,nutmeg
portuguese-bread-french-toast,1 teaspoon orange zest,1,1,,teaspoons,1.0,orange zest,orange zest
portuguese-bread-french-toast,1 (1 pound) loaf portuguese sweet bread,1 1,1,,pound,1.0,portuguese sweet bread,portuguese sweet bread
portuguese-bread-french-toast,"2 tablespoons unsalted butter, cubed",2,2,,tablespoons,2.0,unsalted butter cubed,butter cubed
a-surprise-inside-french-toast,6 (2 inch thick) slices french bread,6 2,6,2,slices,12.0,inch thick french bread,french bread
a-surprise-inside-french-toast,1/4 cup ricotta cheese,1/4,1/4,,cups,0.25,ricotta cheese,ricotta cheese
a-surprise-inside-french-toast,"1/4 cup cottage cheese, whipped",1/4,1/4,,cups,0.25,cottage cheese whipped,cottage cheese whipped
a-surprise-inside-french-toast,2 tablespoons lowfat cream cheese,2,2,,tablespoons,2.0,lowfat cream cheese,lowfat cream cheese
a-surprise-inside-french-toast,2 teaspoons white sugar,2,2,,teaspoons,2.0,white sugar,white sugar
a-surprise-inside-french-toast,2 teaspoons vanilla extract,2,2,,teaspoons,2.0,vanilla extract,vanilla extract
a-surprise-inside-french-toast,3 cups egg substitute,3,3,,cups,3.0,egg substitute,egg substitute
a-surprise-inside-french-toast,1/4 cup evaporated milk,1/4,1/4,,cups,0.25,evaporated milk,evaporated milk
french-toast-ii,4 eggs,4,4,,,4.0,eggs,eggs
french-toast-ii,3/4 cup milk,3/4,3/4,,cups,0.75,milk,milk
french-toast-ii,3 tablespoons brown sugar,3,3,,tablespoons,3.0,brown sugar,brown sugar
french-toast-ii,1 teaspoon ground nutmeg,1,1,,teaspoons,1.0,ground nutmeg,nutmeg
french-toast-ii,12 slices white bread,12,12,,slices,12.0,white bread,white bread
french-toast-ii,1 tablespoon ground cinnamon,1,1,,tablespoons,1.0,ground cinnamon,cinnamon
applesauce-french-toast,2 eggs,2,2,,,2.0,eggs,eggs
applesauce-french-toast,3/4 cup milk,3/4,3/4,,cups,0.75,milk,milk
applesauce-french-toast,1 teaspoon ground cinnamon,1,1,,teaspoons,1.0,ground cinnamon,cinnamon
applesauce-french-toast,2 tablespoons white sugar,2,2,,tablespoons,2.0,white sugar,white sugar
applesauce-french-toast,1/4 cup applesauce,1/4,1/4,,cups,0.25,applesauce,applesauce
applesauce-french-toast,6 slices bread,6,6,,slices,6.0,bread,bread
italian-french-toast,6 eggs,6,6,,,6.0,eggs,eggs
italian-french-toast,1/2 cup milk,1/2,1/2,,cups,0.5,milk,milk
italian-french-toast,2 teaspoons dried parsley,2,2,,teaspoons,2.0,dried parsley,dried parsley
italian-french-toast,12 slices white sandwich bread,12,12,,slices,12.0,white sandwich bread,white sandwich bread
italian-french-toast,6 ounces mozzarella cheese,6,6,,ounces,6.0,mozzarella cheese,mozzarella cheese
italian-french-toast,1 cup vegetable oil for frying,1,1,,cups,1.0,vegetable oil for frying,vegetable oil
italian-french-toast,"1 clove garlic, crushed",1,1,,clove,1.0,garlic crushed,garlic
fluffy-french-toast,1/4 cup all-purpose flour,1/4,1/4,,cups,0.25,all purpose flour,flour
fluffy-french-toast,1 cup milk,1,1,,cups,1.0,milk,milk
fluffy-french-toast,1 pinch salt,1,1,,pinches,1.0,salt,salt
fluffy-french-toast,3 eggs,3,3,,,3.0,eggs,eggs
fluffy-french-toast,1/2 teaspoon ground cinnamon,1/2,1/2,,teaspoons,0.5,ground cinnamon,cinnamon
fluffy-french-toast,1 teaspoon vanilla extract,1,1,,teaspoons,1.0,vanilla extract,vanilla extract
fluffy-french-toast,1 tablespoon white sugar,1,1,,tablespoons,1.0,white sugar,white sugar
fluffy-french-toast,12 thick slices bread,12,12,,slices,12.0,thick bread,bread
crispy-french-toast,8 cups vegetable oil for deep-frying,8,8,,cups,8.0,vegetable oil for deep frying,vegetable oil deep
crispy-french-toast,6 thick slices white bread,6,6,,slices,6.0,thick white bread,white bread
crispy-french-toast,2 eggs,2,2,,,2.0,eggs,eggs
crispy-french-toast,1 cup milk,1,1,,cups,1.0,milk,milk
crispy-french-toast,1 tablespoon white sugar,1,1,,tablespoons,1.0,white sugar,white sugar
crispy-french-toast,1 teaspoon ground cinnamon,1,1,,teaspoons,1.0,ground cinnamon,cinnamon
crispy-french-toast,1 teaspoon vanilla extract,1,1,,teaspoons,1.0,vanilla extract,vanilla extract
crispy-french-toast,2 cups cornflakes cereal,2,2,,cups,2.0,cornflakes cereal,cornflakes cereal
easy-french-toast,1 egg,1,1,,,1.0,egg,egg
easy-french-toast,3/4 cup milk,3/4,3/4,,cups,0.75,milk,milk
easy-french-toast,1 tablespoon ground cinnamon,1,1,,tablespoons,1.0,ground cinnamon,cinnamon
easy-french-toast,1 teaspoon vanilla extract,1,1,,teaspoons,1.0,vanilla extract,vanilla extract
easy-french-toast,1 pinch salt,1,1,,pinches,1.0,salt,salt
easy-french-toast,2 slices bread,2,2,,slices,2.0,bread,bread
french-toast-stars,8 thick slices white bread,8,8,,slices,8.0,thick white bread,white bread
french-toast-stars,2 eggs,2,2,,,2.0,eggs,eggs
french-toast-stars,1/4 cup heavy cream,1/4,1/4,,cups,0.25,heavy cream,heavy cream
french-toast-stars,2 tablespoons honey,2,2,,tablespoons,2.0,honey,honey
french-toast-stars,1/4 teaspoon salt,1/4,1/4,,teaspoons,0.25,salt,salt
french-toast-stars,1/4 teaspoon ground cinnamon,1/4,1/4,,teaspoons,0.25,ground cinnamon,cinnamon
french-toast-stars,1 tablespoon grated orange zest,1,1,,tablespoons,1.0,grated orange zest,orange zest
french-toast-stars,1/2 teaspoon vanilla extract,1/2,1/2,,teaspoons,0.5,vanilla extract,vanilla extract
french-toast-stars,3 tablespoons butter,3,3,,tablespoons,3.0,butter,butter
haitian-french-toast,1 french baguette,1,1,,,1.0,french baguette,french baguette
haitian-french-toast,1 cup orange juice,1,1,,cups,1.0,orange juice,orange juice
haitian-french-toast,1/2 cup heavy whipping cream,1/2,1/2,,cups,0.5,heavy whipping cream,heavy whipping cream
haitian-french-toast,2 eggs,2,2,,,2.0,eggs,eggs
haitian-french-toast,1 teaspoon ground cinnamon,1,1,,teaspoons,1.0,ground cinnamon,cinnamon
haitian-french-toast,1/4 cup white sugar,1/4,1/4,,cups,0.25,white sugar,white sugar
haitian-french-toast,1 dash ground nutmeg,1,1,,dashes,1.0,ground nutmeg,nutmeg
haitian-french-toast,3 tablespoons butter,3,3,,tablespoons,3.0,butter,butter
haitian-french-toast,2 tablespoons confectioners' sugar for dusting,2,2,,tablespoons,2.0,confectioners sugar for dusting,confectioners sugar
reduced-fat-french-toast,1/2 cup egg substitute,1/2,1/2,,cups,0.5,egg substitute,egg substitute
reduced-fat-french-toast,2/3 cup skim milk,2/3,2/3,,cups,0.67,skim milk,skim milk
reduced-fat-french-toast,1 teaspoon vanilla extract,1,1,,teaspoons,1.0,vanilla extract,vanilla extract
reduced-fat-french-toast,1/2 teaspoon ground cinnamon,1/2,1/2,,teaspoons,0.5,ground cinnamon,cinnamon
reduced-fat-french-toast,6 slices reduced calorie white bread,6,6,,slices,6.0,reduced calorie white bread,white bread
jacks-french-toast,1 egg,1,1,,,1.0,egg,egg
jacks-french-toast,1 cup milk,1,1,,cups,1.0,milk,milk
jacks-french-toast,1 teaspoon vanilla extract,1,1,,teaspoons,1.0,vanilla extract,vanilla extract
jacks-french-toast,1 cup oil for frying,1,1,,cups,1.0,oil for frying,oil
jacks-french-toast,4 slices bread,4,4,,slices,4.0,bread,bread
make-ahead-french-toast,"5 eggs, lightly beaten",5,5,,,5.0,eggs lightly beaten,eggs lightly
make-ahead-french-toast,1 1/2 cups milk,1 1/2,1/2,,cups,0.5,milk,milk
make-ahead-french-toast,1 cup half-and-half cream,1,1,,cups,1.0,half and half cream,half and half cream
make-ahead-french-toast,1 teaspoon vanilla extract,1,1,,teaspoons,1.0,vanilla extract,vanilla extract
make-ahead-french-toast,"1/2 (1 pound) loaf french bread, cut diagonally in 1 inch slices",1/2 1 1,1/2,1,slices,0.5,french bread cut diagonally in inch,french bread
make-ahead-french-toast,"1/2 cup butter, melted",1/2,1/2,,cups,0.5,butter melted,butter
make-ahead-french-toast,1 cup light brown sugar,1,1,,cups,1.0,light brown sugar,brown sugar
