ingr_units,Replacement,Original Example,ingr_units_replace
thick,,6 thick slices bread,
eggs,,2 eggs,
cup,,2/3 cup milk,
teaspoon,,1/4 teaspoon ground cinnamon (optional),
slices,,6 slices raisin bread,
tablespoons,,2 tablespoons butter,
pound,,"1 (1 pound) loaf unsliced white bread, with crust trimmed",
cups,,1 1/2 cups milk,
tablespoon,,1 tablespoon vanilla extract,
pinch,,1 pinch ground nutmeg,
ounce,,"2 (8 ounce) packages cream cheese, cut into 1 inch cubes",
inch,,6 (2 inch thick) slices french bread,
teaspoons,,2 teaspoons white sugar,
ounces,,6 ounces mozzarella cheese,
clove,,"1 clove garlic, crushed",
apple,,"6 apple - peeled, cored and sliced",
egg,,1 egg,
french,,1 french baguette,
dash,,1 dash ground nutmeg,
ripe,,"4 ripe bananas, mashed",
extra,,"6 extra large eggs, beaten",
bananas,,"2 bananas, peeled and sliced",
large,,3 large eggs,
nonstick,,nonstick cooking spray,
slightly,,1 slightly beaten egg,
tart,,"3 tart apples, such as granny smith, peeled, cored and thinly sliced",
loaf,,"1 loaf italian or french bread, cut into 1-inch slices",
serving,,"1 serving crisco\xae original no-stick cooking spray, filling:",
hersheys,,"10 hershey's dark chocolate kisses, unwrapped, strawberry jam, archer farms\u2122 cinnamon",
rinsed,,24 rinsed and dried large fresh basil leaves,
medium,,"2 medium tart apples, peeled and chopped",
firm,,"4 firm bananas, sliced",
fruit,,fruit,
pears,,3 pears,
peaches,,"3 peaches, sliced",
less,,1/3 less fat than cream cheese,
pkg,,1 pkg. (4 serving size) jell-o vanilla flavor instant pudding &amp; pie filling,
nature,,4 nature valley\xae peanut butter crunchy granola bars,
for,,for french toast:,
market,,6 market pantry \u2122 eggs,
granny,,"2 granny smith apples - peeled, cored and sliced 1/4 inch thick",
quarts,,2 quarts vegetable oil for frying,
o,,2 o organics\u2122 large eggs,
sweet,,"8 sweet french or challah bread, powdered sugar, maple syrup, orange wedges",
fresh,,8 fresh peaches,
pinches,,4 pinches ground nutmeg,
mexican,,4 mexican bolillo rolls,
lemon,,"1 lemon, zested",
quart,,1 quart half-and-half cream,
sliced,,8 sliced fresh strawberries,
cooking,,cooking spray,
apples,,"4 apples, peeled and thinly sliced",
pieces,,12 pieces brioche (about 1 1/2-inch thick),
splash,,1 splash vanilla extract,
pamxae,,pam\xae no-stick cooking spray,
banana,,"1 banana, sliced",
dashes,,"3 dashes ground nutmeg, or to taste",
strawberries,,"6 strawberries, or more to taste, sliced",
butter,,butter-flavored cooking spray (such as pam\xae),
count,,1/2 (12 count) package hawaiian bread rolls (such as king's\xae),
sprig,,"1 sprig mint leaves, slivered",
