title,ingr_full,quant,units,ingr,category,subcategory
french-toast-i,6 thick slices bread,6.0,slices,bread,bread,
french-toast-i,2 eggs,2.0,,eggs,eggs,
french-toast-i,2/3 cup milk,0.67,cups,milk,milkcream,
french-toast-i,1/4 teaspoon ground cinnamon (optional),0.25,teaspoons,cinnamon,flavor,spice
french-toast-i,1/4 teaspoon ground nutmeg (optional),0.25,teaspoons,nutmeg,flavor,spice
french-toast-i,"1 teaspoon vanilla extract (optional), salt to taste",1.0,teaspoons,vanilla,flavor,spice
snow-day-french-toast,2 eggs,2.0,,eggs,eggs,
snow-day-french-toast,1/2 cup milk,0.5,cups,milk,milkcream,
snow-day-french-toast,1/4 teaspoon salt,0.25,teaspoons,salt,flavor,spice
snow-day-french-toast,1/2 teaspoon ground nutmeg,0.5,teaspoons,nutmeg,flavor,spice
snow-day-french-toast,6 slices raisin bread,6.0,slices,raisin bread,bread,
snow-day-french-toast,2 tablespoons butter,2.0,tablespoons,butter,fat,
snow-day-french-toast,1 cup white sugar,1.0,cups,sugar,sugar,
skiers-french-toast,2 tablespoons light corn syrup,2.0,tablespoons,syrup,syrup,
skiers-french-toast,1/2 cup butter,0.5,cups,butter,fat,
skiers-french-toast,1 cup packed brown sugar,1.0,cups,brown sugar,sugar,
skiers-french-toast,"1 (1 pound) loaf unsliced white bread, with crust trimmed",1.0,pound,white bread,bread,
skiers-french-toast,5 eggs,5.0,,eggs,eggs,
skiers-french-toast,1 1/2 cups milk,0.5,cups,milk,milkcream,
skiers-french-toast,1 tablespoon vanilla extract,1.0,tablespoons,vanilla,flavor,spice
skiers-french-toast,1/4 teaspoon salt,0.25,teaspoons,salt,flavor,spice
poppy-seed-french-toast,3 tablespoons poppy seeds,3.0,tablespoons,poppy seeds,other,
poppy-seed-french-toast,3 eggs,3.0,,eggs,eggs,
poppy-seed-french-toast,2 cups milk,2.0,cups,milk,milkcream,
poppy-seed-french-toast,1 teaspoon vanilla extract,1.0,teaspoons,vanilla,flavor,spice
poppy-seed-french-toast,1 pinch ground nutmeg,1.0,pinches,nutmeg,flavor,spice
poppy-seed-french-toast,2 tablespoons white sugar,2.0,tablespoons,sugar,sugar,
poppy-seed-french-toast,12 thick slices white bread,12.0,slices,white bread,bread,
poppy-seed-french-toast,2 tablespoons butter,2.0,tablespoons,butter,fat,
portuguese-bread-french-toast,5 eggs,5.0,,eggs,eggs,
portuguese-bread-french-toast,4 cups milk,4.0,cups,milk,milkcream,
portuguese-bread-french-toast,1/4 cup white sugar,0.25,cups,sugar,sugar,
portuguese-bread-french-toast,1/2 teaspoon ground cinnamon,0.5,teaspoons,cinnamon,flavor,spice
portuguese-bread-french-toast,1/2 teaspoon freshly grated nutmeg,0.5,teaspoons,nutmeg,flavor,spice
portuguese-bread-french-toast,1 teaspoon orange zest,1.0,teaspoons,orange zest,flavor,zest
portuguese-bread-french-toast,1 (1 pound) loaf portuguese sweet bread,1.0,pound,portuguese sweet bread,bread,
portuguese-bread-french-toast,"2 tablespoons unsalted butter, cubed",2.0,tablespoons,butter,fat,
overnight-blueberry-french-toast,"12 slices day-old bread, cut into 1-inch cubes",12.0,slices,bread,bread,
overnight-blueberry-french-toast,"2 (8 ounce) packages cream cheese, cut into 1 inch cubes",16.0,ounces,cream cheese,dairy,cheese
overnight-blueberry-french-toast,1 cup fresh blueberries,1.0,cups,blueberries,fruit,
overnight-blueberry-french-toast,"12 eggs, beaten",12.0,,eggs,eggs,
overnight-blueberry-french-toast,2 cups milk,2.0,cups,milk,milkcream,
overnight-blueberry-french-toast,1 teaspoon vanilla extract,1.0,teaspoons,vanilla,flavor,spice
overnight-blueberry-french-toast,1/3 cup maple syrup,0.33,cups,syrup,syrup,
overnight-blueberry-french-toast,1 cup white sugar,1.0,cups,sugar,sugar,
overnight-blueberry-french-toast,2 tablespoons cornstarch,2.0,tablespoons,cornstarch,other,
overnight-blueberry-french-toast,1 cup water,1.0,cups,water,other,
overnight-blueberry-french-toast,1 cup fresh blueberries,1.0,cups,blueberries,fruit,
overnight-blueberry-french-toast,1 tablespoon butter,1.0,tablespoons,butter,fat,
a-surprise-inside-french-toast,6 (2 inch thick) slices french bread,12.0,slices,french bread,bread,
a-surprise-inside-french-toast,1/4 cup ricotta cheese,0.25,cups,ricotta cheese,dairy,cheese
a-surprise-inside-french-toast,"1/4 cup cottage cheese, whipped",0.25,cups,cottage cheese,dairy,cheese
a-surprise-inside-french-toast,2 tablespoons lowfat cream cheese,2.0,tablespoons,cream cheese,dairy,cheese
a-surprise-inside-french-toast,2 teaspoons white sugar,2.0,teaspoons,sugar,sugar,
a-surprise-inside-french-toast,2 teaspoons vanilla extract,2.0,teaspoons,vanilla,flavor,spice
a-surprise-inside-french-toast,3 cups egg substitute,3.0,cups,egg substitute,eggs,
a-surprise-inside-french-toast,1/4 cup evaporated milk,0.25,cups,evaporated milk,milkcream,
french-toast-ii,4 eggs,4.0,,eggs,eggs,
french-toast-ii,3/4 cup milk,0.75,cups,milk,milkcream,
french-toast-ii,3 tablespoons brown sugar,3.0,tablespoons,brown sugar,sugar,
french-toast-ii,1 teaspoon ground nutmeg,1.0,teaspoons,nutmeg,flavor,spice
