title,ingr_full,quant,units,cut,ingr,category,subcategory
a-surprise-inside-french-toast,"1/4 cup cottage cheese, whipped",0.25,cups,,cottage cheese,dairy,cheese
a-surprise-inside-french-toast,2 tablespoons lowfat cream cheese,2,tablespoons,,cream cheese,dairy,cheese
a-surprise-inside-french-toast,3 cups egg substitute,3,cups,,egg substitute,eggs,
a-surprise-inside-french-toast,1/4 cup evaporated milk,0.25,cups,,evaporated milk,milkcream,
a-surprise-inside-french-toast,6 (2 inch thick) slices french bread,12,slices,"2"" slices",french bread,bread,
a-surprise-inside-french-toast,1/4 cup ricotta cheese,0.25,cups,,ricotta cheese,dairy,cheese
a-surprise-inside-french-toast,2 teaspoons white sugar,2,teaspoons,,sugar,sugar,
a-surprise-inside-french-toast,2 teaspoons vanilla extract,2,teaspoons,,vanilla,flavor,spice
a-surprise-inside-french-toast,cooking spray,,,,cooking spray,fat,
almond-french-toast,1/2 teaspoon almond extract,0.5,teaspoons,,almond extract,flavor,spice
almond-french-toast,1 cup slivered almonds,1,cups,,almonds,nut,
almond-french-toast,1/2 teaspoon baking powder,0.5,teaspoons,,baking powder,other,
almond-french-toast,"3 tablespoons butter, confectioners' sugar for dusting",3,tablespoons,,butter,fat,
almond-french-toast,"3 tablespoons butter, confectioners' sugar for dusting",,,,confectioners sugar,sugar,
almond-french-toast,3 eggs,3,,,eggs,eggs,
almond-french-toast,3 tablespoons all-purpose flour,3,tablespoons,,flour,other,
almond-french-toast,12 thick slices french bread,12,slices,,french bread,bread,
almond-french-toast,1 cup milk,1,cups,,milk,milkcream,
almond-french-toast,3 tablespoons canola oil,3,tablespoons,,oil,fat,
almond-french-toast,1/4 teaspoon salt,0.25,teaspoons,,salt,flavor,spice
almond-french-toast,1 teaspoon vanilla extract,1,teaspoons,,vanilla,flavor,spice
apple-cinnamon-french-toast,"3 medium apples, peeled, cored, and cut into 1/8-inch-thick slices",3,slices,,apples,fruit,
apple-cinnamon-french-toast,"6 slices cinnamon swirl bread, confectioners' sugar (optional)",6,slices,,cinnamon bread,bread,
apple-cinnamon-french-toast,"6 slices cinnamon swirl bread, confectioners' sugar (optional)",,,,confectioners sugar,sugar,
apple-cinnamon-french-toast,pam\xae no-stick cooking spray,,,,cooking spray,fat,
apple-cinnamon-french-toast,1/2 cup egg beaters\xae original,0.5,cups,,egg whites,eggs,
apple-cinnamon-french-toast,3 tablespoons maple flavored pancake syrup,3,tablespoons,,maple flavored syrup,syrup,
apple-cinnamon-french-toast,1/4 cup fat free milk,0.25,cups,,skim milk,milkcream,
apple-pie-french-toast,"4 apples, peeled and thinly sliced",4,,,apples,fruit,
apple-pie-french-toast,1 loaf thick-cut bread,1,loaves,,bread,bread,
apple-pie-french-toast,1/2 cup brown sugar,0.5,cups,,brown sugar,sugar,
apple-pie-french-toast,1/2 cup butter,0.5,cups,,butter,fat,
apple-pie-french-toast,1/2 cup frozen butter,0.5,cups,,butter,fat,
apple-pie-french-toast,1/2 teaspoon ground cinnamon,0.5,teaspoons,,cinnamon,flavor,spice
apple-pie-french-toast,9 eggs,9,,,eggs,eggs,
apple-pie-french-toast,2 1/2 tablespoons all-purpose flour,1,tablespoons,,flour,other,
apple-pie-french-toast,"1 teaspoon lemon juice, or as needed (optional)",1,teaspoons,,lemon juice,flavor,liquid
apple-pie-french-toast,1/4 cup milk,0.25,cups,,milk,milkcream,
apple-pie-french-toast,1/2 cup white sugar,0.5,cups,,sugar,sugar,
apple-pie-french-toast,1/2 teaspoon vanilla extract,0.5,teaspoons,,vanilla,flavor,spice
apple-pie-french-toast,1/4 cup water,0.25,cups,,water,other,
applesauce-french-toast,1/4 cup applesauce,0.25,cups,,applesauce,spread,
applesauce-french-toast,6 slices bread,6,slices,,bread,bread,
applesauce-french-toast,1 teaspoon ground cinnamon,1,teaspoons,,cinnamon,flavor,spice
applesauce-french-toast,2 eggs,2,,,eggs,eggs,
applesauce-french-toast,3/4 cup milk,0.75,cups,,milk,milkcream,
applesauce-french-toast,2 tablespoons white sugar,2,tablespoons,,sugar,sugar,
applesauce-french-toast,lightly greased,,,,butter,fat,
apres-ski-french-toast,2 teaspoons light butter,2,teaspoons,,butter,fat,
apres-ski-french-toast,1/2 teaspoon ground cinnamon,0.5,teaspoons,,cinnamon,flavor,spice
apres-ski-french-toast,2 eggs,2,,,eggs,eggs,
apres-ski-french-toast,3/4 cup milk,0.75,cups,,milk,milkcream,
apres-ski-french-toast,4 slices multigrain bread,4,slices,,multigrain bread,bread,
apres-ski-french-toast,1/4 tablespoon ground nutmeg,0.25,tablespoons,,nutmeg,flavor,spice
apres-ski-french-toast,1 teaspoon orange juice,1,teaspoons,,orange juice,flavor,liquid
apres-ski-french-toast,2 teaspoons grated orange zest,2,teaspoons,,orange zest,flavor,zest
apres-ski-french-toast,1/4 teaspoon salt,0.25,teaspoons,,salt,flavor,spice
apres-ski-french-toast,1 teaspoon white sugar,1,teaspoons,,sugar,sugar,
apres-ski-french-toast,1 teaspoon vanilla extract,1,teaspoons,,vanilla,flavor,spice
bacon-crusted-fruit-stuffed-french-toast,"4 slices bacon, filling:",4,slices,,bacon,meat,
bacon-crusted-fruit-stuffed-french-toast,"4 slices bread, egg wash:",4,slices,,bread,bread,
bacon-crusted-fruit-stuffed-french-toast,"2 tablespoons butter, at room temperature",2,tablespoons,,butter,fat,
bacon-crusted-fruit-stuffed-french-toast,2 tablespoons butter,2,tablespoons,,butter,fat,
bacon-crusted-fruit-stuffed-french-toast,1/2 cup coconut milk,0.5,cups,,coconut milk,milkcream,
bacon-crusted-fruit-stuffed-french-toast,"1/2 (8 ounce) package cream cheese, softened",4,ounces,,cream cheese,dairy,cheese
bacon-crusted-fruit-stuffed-french-toast,3 eggs,3,,,eggs,eggs,
bacon-crusted-fruit-stuffed-french-toast,1/2 teaspoon lemon juice,0.5,teaspoons,,lemon juice,flavor,liquid
bacon-crusted-fruit-stuffed-french-toast,"1 sprig mint leaves, slivered",1,,,mint,flavor,herb
bacon-crusted-fruit-stuffed-french-toast,1 dash ground nutmeg,1,dashes,,nutmeg,flavor,spice
bacon-crusted-fruit-stuffed-french-toast,1 dash salt,1,dashes,,salt,flavor,spice
bacon-crusted-fruit-stuffed-french-toast,"4 strawberries, diced, or more to taste",4,,,strawberries,fruit,
bacon-crusted-fruit-stuffed-french-toast,2 tablespoons white sugar,2,tablespoons,,sugar,sugar,
bacon-crusted-fruit-stuffed-french-toast,1/2 teaspoon vanilla extract,0.5,teaspoons,,vanilla,flavor,spice
banana-and-nutella-french-toast,"1 banana, sliced",1,,,bananas,fruit,
banana-and-nutella-french-toast,4 slices bread,4,slices,,bread,bread,
banana-and-nutella-french-toast,2 tablespoons butter,2,tablespoons,,butter,fat,
banana-and-nutella-french-toast,1/4 cup chocolate milk,0.25,cups,,chocolate milk,milkcream,
banana-and-nutella-french-toast,1/2 teaspoon ground cinnamon,0.5,teaspoons,,cinnamon,flavor,spice
banana-and-nutella-french-toast,"2 eggs, beaten",2,,,eggs,eggs,
banana-and-nutella-french-toast,1/4 cup chocolate-hazelnut spread (such as nutella\xae),0.25,cups,,nutella,spread,
banana-and-nutella-french-toast,1 tablespoon vanilla extract,1,tablespoons,,vanilla,flavor,spice
banana-bread-french-toast,"1 loaf banana bread, confectioners' sugar for dusting (optional)",4,slices,,banana bread,bread,
banana-bread-french-toast,"1 loaf banana bread, confectioners' sugar for dusting (optional)",,,,confectioners sugar,sugar,
banana-bread-french-toast,2 tablespoons butter,2,tablespoons,,butter,fat,
banana-bread-french-toast,3 tablespoons sweetened condensed milk,3,tablespoons,,condensed milk,milkcream,
banana-bread-french-toast,3 eggs,3,,,eggs,eggs,
banana-bread-french-toast,1 teaspoon vanilla extract,1,teaspoons,,vanilla,flavor,spice
banana-stuffed-french-toast,"2 bananas, peeled and sliced",2,,,bananas,fruit,
banana-stuffed-french-toast,"1/4 cup butter, confectioners' sugar for dusting",0.25,cups,,butter,fat,
banana-stuffed-french-toast,"1/4 cup butter, confectioners' sugar for dusting",,,,confectioners sugar,sugar,
banana-stuffed-french-toast,"3 eggs, beaten",3,,,eggs,eggs,
banana-stuffed-french-toast,"1 (1 pound) loaf french bread, cut into 1 inch slices",1,pound,"1"" slices",french bread,bread,
banana-stuffed-french-toast,1 tablespoon milk,1,tablespoons,,milk,milkcream,
banana-stuffed-french-toast,1 tablespoon orange liqueur,1,tablespoons,,orange liqueur,flavor,liquid
banana-stuffed-french-toast,1 teaspoon grated orange zest,1,teaspoons,,orange zest,flavor,zest
banana-stuffed-french-toast,1 teaspoon vanilla extract,1,teaspoons,,vanilla,flavor,spice
banana-stuffed-french-toast,1 teaspoon water,1,teaspoons,,water,other,
captains-crunch-french-toast,2 tablespoons butter,2,tablespoons,,butter,fat,
captains-crunch-french-toast,"1/2 (14 ounce) package brown sugar and butter flavored crispy corn and oat breakfast cereal (such as cap\u2019n crunch\xae), crushed",7,ounces,,cereal,cereal,
captains-crunch-french-toast,6 thick slices egg bread (challah),6,slices,,challah,bread,
captains-crunch-french-toast,1/4 teaspoon ground cinnamon,0.25,teaspoons,,cinnamon,flavor,spice
captains-crunch-french-toast,3 large eggs,3,,,eggs,eggs,
captains-crunch-french-toast,1 cup heavy cream,1,cups,,heavy cream,milkcream,
captains-crunch-french-toast,1/4 teaspoon ground nutmeg,0.25,teaspoons,,nutmeg,flavor,spice
captains-crunch-french-toast,1/2 cup 2% low-fat milk,0.5,cups,,reduced fat milk,milkcream,
captains-crunch-french-toast,2 1/2 tablespoons white sugar,1,tablespoons,,sugar,sugar,
captains-crunch-french-toast,1/2 teaspoon vanilla extract,0.5,teaspoons,,vanilla,flavor,spice
caramelized-french-toast,8 slices bread,8,slices,,bread,bread,
caramelized-french-toast,1 cup brown sugar,1,cups,,brown sugar,sugar,
caramelized-french-toast,"4 tablespoons butter, divided",4,tablespoons,,butter,fat,
caramelized-french-toast,6 eggs,6,,,eggs,eggs,
caramelized-french-toast,1/2 cup milk,0.5,cups,,milk,milkcream,
caramelized-french-toast,1/8 teaspoon salt,0.13,teaspoons,,salt,flavor,spice
caramelized-french-toast,1/2 cup water,0.5,cups,,water,other,
challah-french-toast-with-berry-sauce,"3 1/2 tablespoons unsalted butter, for berry sauce:",1.5,tablespoons,,butter,fat,
challah-french-toast-with-berry-sauce,"1 (1 pound) challah loaf, cut crosswise into 1/2-inch-thick slices (not including end pieces)",12,slices,"0.5"" slices",challah,bread,
challah-french-toast-with-berry-sauce,3 large eggs,3,,,eggs,eggs,
challah-french-toast-with-berry-sauce,"1 tablespoon fresh lemon juice, garnish: confectioners sugar for dusting",1,tablespoons,,lemon juice,flavor,liquid
