title,ingr_full,ingr_nums,ingr_cnt,ingr_qnt,ingr_units,ingr_num_total,ingr_wrds,ingr_wrds_cln
peanut-butter-and-banana-french-toast,1 egg,1,1,,,1.0,egg,egg
peanut-butter-and-banana-french-toast,1 dash vanilla extract,1,1,,dashes,1.0,vanilla extract,vanilla extract
peanut-butter-and-banana-french-toast,2 tablespoons creamy peanut butter,2,2,,tablespoons,2.0,creamy peanut butter,peanut butter
peanut-butter-and-banana-french-toast,2 slices bread,2,2,,slices,2.0,bread,bread
peanut-butter-and-banana-french-toast,"1 small banana, sliced",1,1,,,1.0,small banana sliced,small banana
peanut-butter-and-banana-french-toast,2 tablespoons butter,2,2,,tablespoons,2.0,butter,butter
hawaiian-french-toast,"3 eggs, separated",3,3,,,3.0,eggs separated,eggs separated
hawaiian-french-toast,1/2 teaspoon vanilla extract,1/2,1/2,,teaspoons,0.5,vanilla extract,vanilla extract
hawaiian-french-toast,1 teaspoon grated orange zest,1,1,,teaspoons,1.0,grated orange zest,orange zest
hawaiian-french-toast,1/2 teaspoon rum flavored extract,1/2,1/2,,teaspoons,0.5,rum flavored extract,rum extract
hawaiian-french-toast,1 tablespoon water,1,1,,tablespoons,1.0,water,water
hawaiian-french-toast,1 tablespoon honey,1,1,,tablespoons,1.0,honey,honey
hawaiian-french-toast,"1 (1 pound) loaf hawaiian sweet bread, thickly sliced",1 1,1,,pound,1.0,hawaiian sweet bread thickly sliced,hawaiian sweet bread thickly
hawaiian-french-toast,"1 (8 ounce) can crushed pineapple, with juice",1 8,8,,ounces,8.0,can crushed pineapple with juice,pineapple juice
hawaiian-french-toast,"1 (3 ounce) can mandarin orange segments, drained",1 3,,,ounces,,can mandarin orange segments drained,mandarin orange segments
hawaiian-french-toast,3 tablespoons honey,3,3,,tablespoons,3.0,honey,honey
hawaiian-french-toast,1 cup maple syrup,1,1,,cups,1.0,maple syrup,maple syrup
sunny-orange-french-toast,1 1/2 cups cream of wheat cereal,1 1/2,1/2,,cups,0.5,cream of wheat cereal,cream of wheat cereal
sunny-orange-french-toast,"3 eggs, slightly beaten",3,3,,,3.0,eggs slightly beaten,eggs
sunny-orange-french-toast,3/4 teaspoon grated orange peel,3/4,3/4,,teaspoons,0.75,grated orange peel,orange peel
sunny-orange-french-toast,1 cup orange juice,1,1,,cups,1.0,orange juice,orange juice
sunny-orange-french-toast,3 tablespoons granulated sugar,3,3,,tablespoons,3.0,granulated sugar,granulated sugar
sunny-orange-french-toast,1 teaspoon vanilla,1,1,,teaspoons,1.0,vanilla,vanilla
sunny-orange-french-toast,12 slices firm white bread (3/4-inch thick),12 3/4,12,,slices,12.0,firm white bread inch thick,white bread
sunny-orange-french-toast,"1/4 cup margarine or butter , divided, powdered sugar (optional)",1/4,1/4,,cups,0.25,margarine or butter divided powdered sugar optional,margarine or butter powdered sugar
grandmas-peach-french-toast,1 cup packed brown sugar,1,1,,cups,1.0,packed brown sugar,brown sugar
grandmas-peach-french-toast,1/2 cup butter,1/2,1/2,,cups,0.5,butter,butter
grandmas-peach-french-toast,2 tablespoons water,2,2,,tablespoons,2.0,water,water
grandmas-peach-french-toast,"1 (29 ounce) can sliced peaches, drained",1 29,29,,ounces,29.0,can sliced peaches drained,peaches
grandmas-peach-french-toast,12 (3/4 inch thick) slices day-old french bread,12 3/4,12,,slices,12.0,inch thick day old french bread,day french bread
grandmas-peach-french-toast,5 eggs,5,5,,,5.0,eggs,eggs
grandmas-peach-french-toast,1 tablespoon vanilla extract,1,1,,tablespoons,1.0,vanilla extract,vanilla extract
