ingr_nums,ingr_nums_replace,ingr_cnt_replace,ingr_qnt_replace,Original Example,Replacement-ingr_cnt,Replacement-ingr_qnt
1,1,1,,1 egg,,
1 1,1 1,1,1,"1 (1 pound) loaf hawaiian sweet bread, thickly sliced",,
1 1/2,1 1/2,1,1/2,1 1/2 cups cream of wheat cereal,,
1 16,1 16,1,16,"1 (16 ounce) package frozen sliced peaches, thawed",,
1 29,1 29,1,29,"1 (29 ounce) can sliced peaches, drained",,
1 3,1 3,1,3,"1 (3 ounce) can mandarin orange segments, drained",,
1 8,1 8,1,8,"1 (8 ounce) can crushed pineapple, with juice",,
1/2,1/2,1/2,,1/2 teaspoon vanilla extract,,
1/4,1/4,1/4,,"1/4 cup margarine or butter , divided, powdered sugar (optional)",,
1/8,1/8,1/8,,1/8 teaspoon ground cinnamon,,
12 3/4,12 3/4,12,3/4,12 slices firm white bread (3/4-inch thick),,
12 \ \2122,12 ,12,,12 slices sara lee\xae soft &amp; smooth\u2122 whole grain white bread,,
15,15,15,,15 slices whole wheat bread,,
2,2,2,,2 tablespoons creamy peanut butter,,
2 1/4,2 1/4,2,1/4,2 1/4 teaspoons white sugar,,
2 6,2 6,2,6,2 (6 ounce) containers fresh blackberries,,
3,3,3,,"3 eggs, separated",,
3/4,3/4,3/4,,3/4 teaspoon grated orange peel,,
4,4,4,,4 eggs,,
5,5,5,,5 eggs,,
6,6,6,,"6 slices fresh challah, confectioners' sugar, maple syrup or jam for serving",,
8,8,8,,8 slices whole wheat bread,,
