ingr_units,Replacement,Original Example,ingr_units_replace
egg,,1 egg,
dash,,1 dash vanilla extract,
tablespoons,,2 tablespoons creamy peanut butter,
slices,,2 slices bread,
small,,"1 small banana, sliced",
eggs,,"3 eggs, separated",
teaspoon,,1/2 teaspoon vanilla extract,
tablespoon,,1 tablespoon water,
pound,,"1 (1 pound) loaf hawaiian sweet bread, thickly sliced",
ounce,,"1 (8 ounce) can crushed pineapple, with juice",
cup,,1 cup maple syrup,
cups,,1 1/2 cups cream of wheat cereal,
inch,,12 (3/4 inch thick) slices day-old french bread,
pinch,,"1 pinch ground cinnamon, or to taste",
large,,3 large eggs,
teaspoons,,2 teaspoons butter,
banana,,"1 banana, sliced",
